Season,Y_lead,State,new_case,new_death,Administered_Dose1_Pop_Pct,change_in_perc_first,dtc
0,2021,AK,16774,69,25.2,25.2,0.004113509002026947
1,2021,AK,11150,39,50,24.8,0.0034977578475336325
2,2021,AK,17116,69,57.5,7.5,0.004031315727973826
3,2021,AK,60984,419,65.5,8,0.006870654597927325
0,2022,AK,86064,137,69.1,3.5999999999999943,0.0015918386317159323
1,2022,AK,10891,85,69.7,0.6000000000000085,0.007804609310439812
0,2021,AL,199947,4616,14.2,14.2,0.023086117821222624
1,2021,AL,50838,824,39.1,24.900000000000002,0.016208348086077344
2,2021,AL,157186,1990,51.4,12.299999999999997,0.01266016057409693
3,2021,AL,144306,3045,58,6.600000000000001,0.021100993721674774
0,2022,AL,435198,2709,62.1,4.100000000000001,0.0062247528711069445
1,2022,AL,19454,402,62.6,0.5,0.02066413077002159
0,2021,AR,138163,2332,16.3,16.3,0.016878614390249198
1,2021,AR,18966,590,41.9,25.599999999999998,0.031108299061478436
2,2021,AR,111510,1101,55.4,13.5,0.009873553941350552
3,2021,AR,75947,1453,61.8,6.399999999999999,0.019131762939944962
0,2022,AR,291146,1857,65.9,4.1000000000000085,0.006378243218179196
1,2022,AR,14880,845,66.6,0.6999999999999886,0.05678763440860215
0,2021,AS,1,0,28.7,28.7,0
1,2021,AS,-4,0,51.8,23.099999999999998,-0
3,2021,AS,10,0,77,9.900000000000006,0
0,2022,AS,76,0,91.9,14.900000000000006,0
1,2022,AS,5622,22,95,3.0999999999999943,0.003913198150124511
0,2021,AZ,414523,8658,18.7,18.7,0.020886657676413612
1,2021,AZ,64043,1648,49.1,30.400000000000002,0.025732710834907795
2,2021,AZ,130473,1158,58.2,9.100000000000001,0.008875399507944172
3,2021,AZ,257857,3521,65.6,7.3999999999999915,0.0136548552104461
0,2022,AZ,707110,5639,71.9,6.300000000000011,0.007974713976609014
1,2022,AZ,42284,2144,72.9,1,0.050704758301012204
0,2021,CA,1954130,30982,17.9,17.9,0.015854625843725854
1,2021,CA,209470,10217,57.4,39.5,0.04877548097579606
2,2021,CA,565760,3276,67.7,10.300000000000004,0.0057904411764705885
3,2021,CA,634599,8425,75.6,7.8999999999999915,0.013276100340530004
0,2022,CA,3898356,10988,82.5,6.900000000000006,0.00281862405588407
1,2022,CA,216612,4555,83.6,1.0999999999999943,0.021028382545750006
0,2021,CO,136258,2080,17.7,17.7,0.015265158742972889
1,2021,CO,111196,629,56.8,39.099999999999994,0.005656678297780496
2,2021,CO,69192,562,65.4,8.600000000000009,0.008122326280494856
3,2021,CO,217181,2051,73.3,7.8999999999999915,0.009443735870080716
0,2022,CO,514526,2579,78.6,5.299999999999997,0.005012380326747336
1,2022,CO,22758,328,79.3,0.7000000000000028,0.014412514280692503
0,2021,CT,133185,2259,19.7,19.7,0.016961369523595
1,2021,CT,67560,616,65.4,45.7,0.009117821195973949
2,2021,CT,25414,120,74.9,9.5,0.004721806878098686
3,2021,CT,48620,547,85.1,10.199999999999989,0.011250514191690663
0,2022,CT,301697,1565,94.1,9,0.0051873237055721465
1,2022,CT,25238,364,95,0.9000000000000057,0.01442269593470164
0,2021,DC,15955,304,15.2,15.2,0.01905358821685992
1,2021,DC,8333,115,62.8,47.599999999999994,0.013800552022080883
2,2021,DC,6237,28,71.8,9,0.004489337822671156
3,2021,DC,11106,36,85.1,13.299999999999997,0.0032414910858995136
0,2022,DC,67652,122,95,9.900000000000006,0.0018033465381659078
0,2021,DE,43004,607,16.9,16.9,0.014114966049669797
1,2021,DE,20167,239,57.2,40.300000000000004,0.011851043784400259
2,2021,DE,10828,219,65.9,8.700000000000003,0.02022534170668637
3,2021,DE,33315,298,74.7,8.799999999999997,0.008944919705838212
0,2022,DE,104853,531,82,7.299999999999997,0.005064232783039112
1,2022,DE,5484,187,82.9,0.9000000000000057,0.034099197665937275
0,2021,FL,769406,11225,16,16,0.014589176585573807
1,2021,FL,414680,4967,51.3,35.3,0.011977910678113244
2,2021,FL,996693,13228,65.5,14.200000000000003,0.01327189014069528
3,2021,FL,436664,11871,73,7.5,0.027185662202517266
0,2022,FL,2090374,10153,78.3,5.299999999999997,0.0048570255848953345
1,2022,FL,90998,1428,79.2,0.9000000000000057,0.015692652585771117
0,2021,GA,468481,7220,12.6,12.6,0.015411510819008668
1,2021,GA,117320,3542,42.1,29.5,0.0301909307875895
2,2021,GA,279741,1903,53.2,11.100000000000001,0.006802721088435374
3,2021,GA,260874,7770,60.4,7.199999999999996,0.02978449366360772
0,2022,GA,800600,4905,64.7,4.300000000000004,0.0061266550087434426
1,2022,GA,33254,2244,65.3,0.5999999999999943,0.06748060383713238
0,2021,GU,655,15,22.9,22.9,0.022900763358778626
1,2021,GU,439,9,58.1,35.2,0.02050113895216401
2,2021,GU,2567,9,74.1,15.999999999999993,0.003506038176860148
3,2021,GU,8474,115,84,9.900000000000006,0.013570922822751947
0,2022,GU,25632,64,90.2,6.200000000000003,0.0024968789013732834
1,2022,GU,3093,24,91,0.7999999999999972,0.007759456838021339
0,2021,HI,8028,167,19.9,19.9,0.020802192326856005
1,2021,HI,7562,61,60,40.1,0.00806664903464692
2,2021,HI,26318,89,70.6,10.599999999999994,0.0033817159358613875
3,2021,HI,23407,421,80.9,10.300000000000011,0.017986072542401844
0,2022,HI,145698,315,86.7,5.799999999999997,0.0021620063418852694
1,2022,HI,8305,73,87.3,0.5999999999999943,0.008789885611077665
0,2021,IA,81089,2259,18.5,18.5,0.027858279174733935
1,2021,IA,35095,584,50.5,32,0.016640547086479555
2,2021,IA,35144,213,57.3,6.799999999999997,0.006060778511267927
3,2021,IA,121653,1177,63.4,6.100000000000001,0.009675059390232875
0,2022,IA,221330,1640,67.4,4.000000000000007,0.007409750146839561
1,2022,IA,7963,425,67.9,0.5,0.05337184478211729
0,2021,ID,50508,691,16,16,0.013681001029539876
1,2021,ID,20938,230,40.9,24.9,0.01098481230298978
2,2021,ID,29311,273,48.8,7.899999999999999,0.00931390945378868
3,2021,ID,85456,1566,56.8,8,0.018325219996255384
0,2022,ID,119319,822,60.5,3.700000000000003,0.006889095617630051
1,2022,ID,19381,171,61,0.5,0.00882307414478097
0,2021,IL,345008,7503,17.3,17.3,0.021747321801233593
1,2021,IL,195490,2488,53.7,36.400000000000006,0.012726993708118063
2,2021,IL,140756,1277,62.2,8.5,0.009072437409417716
3,2021,IL,286933,2876,69.4,7.200000000000003,0.010023245844848797
0,2022,IL,1221345,7534,75.8,6.3999999999999915,0.006168609197237471
1,2022,IL,82816,949,76.6,0.7999999999999972,0.011459138330757342
0,2021,IN,243053,5802,15.8,15.8,0.023871336704340204
1,2021,IN,81550,1063,43.6,27.8,0.013034947884733292
2,2021,IN,114418,883,51,7.399999999999999,0.007717317205334825
3,2021,IN,242619,3073,56.4,5.399999999999999,0.012665949492826201
0,2022,IN,580500,5286,60.8,4.399999999999999,0.00910594315245478
1,2022,IN,14051,692,61.4,0.6000000000000014,0.04924916376058643
0,2021,KS,108369,2663,18.5,18.5,0.024573448126309183
1,2021,KS,20649,341,50.6,32.1,0.016514116906387717
2,2021,KS,56761,481,59.8,9.199999999999996,0.008474128362784307
3,2021,KS,94217,1129,68.1,8.299999999999997,0.011982975471517878
0,2022,KS,300755,1260,73.8,5.700000000000003,0.004189456534388456
1,2022,KS,7751,651,74.4,0.6000000000000085,0.08398916268868534
0,2021,KY,184141,3233,16.9,16.9,0.017557198016737174
1,2021,KY,46805,752,44.8,27.9,0.016066659544920415
2,2021,KY,126524,1133,53.9,9.100000000000001,0.008954822800417312
3,2021,KY,206429,3227,61.4,7.5,0.015632493496553296
0,2022,KY,512968,2759,65.5,4.100000000000001,0.005378503142496218
1,2022,KY,22134,473,66.1,0.5999999999999943,0.0213698382578838
0,2021,LA,165909,2841,16.3,16.3,0.017123844999367123
1,2021,LA,41317,968,37.9,21.599999999999998,0.023428612919621464
2,2021,LA,217819,1959,51.2,13.300000000000004,0.008993705783242049
3,2021,LA,81194,2266,56.6,5.399999999999999,0.027908466142818434
0,2022,LA,391643,1805,60.4,3.799999999999997,0.004608789126832344
1,2022,LA,9096,617,60.9,0.5,0.06783201407211961
0,2021,MA,295423,4784,19.4,19.4,0.01619372899198776
1,2021,MA,125889,1653,68.2,48.800000000000004,0.013130615065653075
2,2021,MA,52832,374,76.2,8,0.007079043004239854
3,2021,MA,159228,1158,86.6,10.399999999999991,0.007272590247946341
0,2022,MA,752195,4020,95,8.400000000000006,0.005344358843119138
0,2021,MD,150090,3022,16.4,16.4,0.020134585915117596
1,2021,MD,77795,1291,60.1,43.7,0.016594896844270197
2,2021,MD,37108,371,69.8,9.699999999999996,0.009997844130645682
3,2021,MD,89141,1178,78.5,8.700000000000003,0.013215018902637394
0,2022,MD,416491,2913,85.5,7,0.006994148733105878
1,2022,MD,23291,290,86.3,0.7999999999999972,0.012451161392812675
0,2021,ME,25693,446,18.9,18.9,0.017358813684661193
1,2021,ME,23284,122,65.7,46.800000000000004,0.005239649544751761
2,2021,ME,10202,109,73.2,7.5,0.010684179572632816
3,2021,ME,47968,393,83.2,10,0.008192961974649766
0,2022,ME,101347,738,89.2,6,0.007281912636782539
1,2022,ME,14701,215,90.2,1,0.014624855452010067
0,2021,MI,151948,4890,16.3,16.3,0.03218206228446574
1,2021,MI,308183,3963,50,33.7,0.012859242722668026
2,2021,MI,65901,829,56,6,0.012579475273516334
3,2021,MI,421592,2143,61.9,5.899999999999999,0.005083113531566064
0,2022,MI,876143,5426,66.4,4.500000000000007,0.006193052960532699
1,2022,MI,50240,1430,66.9,0.5,0.028463375796178345
0,2021,MN,109196,2133,18.7,18.7,0.019533682552474448
1,2021,MN,115965,830,56.3,37.599999999999994,0.007157331953606691
2,2021,MN,48514,380,63.2,6.900000000000006,0.007832790534691016
3,2021,MN,254452,1546,69.9,6.700000000000003,0.006075802115919702
0,2022,MN,501206,2783,74.5,4.599999999999994,0.005552607111646708
1,2022,MN,30283,463,75,0.5,0.015289106099131526
0,2021,MO,166695,2707,15.6,15.6,0.016239239329314016
1,2021,MO,48658,512,44.3,28.699999999999996,0.010522421801142668
2,2021,MO,160846,1542,54.1,9.800000000000004,0.009586809743481342
3,2021,MO,139211,2042,60.9,6.799999999999997,0.01466838109057474
0,2022,MO,486331,3414,65.5,4.600000000000001,0.007019910308000107
1,2022,MO,24414,1456,66.1,0.5999999999999943,0.059637912673056445
0,2021,MP,30,0,21.1,21.1,0
1,2021,MP,40,0,50.7,29.6,0
2,2021,MP,60,0,67.7,17,0
3,2021,MP,569,1,77.8,10.099999999999994,0.0017574692442882249
0,2022,MP,8912,27,87.1,9.299999999999997,0.0030296229802513463
1,2022,MP,1497,4,87.7,0.6000000000000085,0.0026720106880427524
0,2021,MS,113995,2161,15.3,15.3,0.01895697179700864
1,2021,MS,21590,393,36.2,20.900000000000002,0.018202871699861047
2,2021,MS,121551,812,49,12.799999999999997,0.006680323485615092
3,2021,MS,74510,900,55.2,6.200000000000003,0.012078915581801101
0,2022,MS,265269,1655,59,3.799999999999997,0.00623894989614316
1,2022,MS,6900,397,59.5,0.5,0.05753623188405797
0,2021,MT,27310,541,19.4,19.4,0.019809593555474184
1,2021,MT,11803,230,47.3,27.9,0.019486571210709142
2,2021,MT,15398,187,53.8,6.5,0.012144434342122354
3,2021,MT,63785,871,61.1,7.300000000000004,0.013655248099082857
0,2022,MT,75567,516,64.7,3.6000000000000014,0.0068283774663543614
1,2022,MT,5160,75,65.1,0.3999999999999915,0.014534883720930232
0,2021,NC,418829,5834,17.1,17.1,0.013929312440160543
1,2021,NC,136818,1149,47.7,30.6,0.008398017804674824
2,2021,NC,224282,1598,57.8,10.099999999999994,0.007124958757278783
3,2021,NC,312271,3961,72.4,14.600000000000009,0.012684495198081154
0,2022,NC,1083049,3963,82.6,10.199999999999989,0.0036591142229021956
1,2022,NC,36304,376,84,1.4000000000000057,0.010356985456148084
0,2021,ND,11981,293,20.6,20.6,0.024455387697187213
1,2021,ND,10110,67,45,24.4,0.006627101879327399
2,2021,ND,7993,49,51.9,6.899999999999999,0.00613036406855999
3,2021,ND,45021,337,60.6,8.700000000000003,0.007485395704226916
0,2022,ND,75077,294,64.5,3.8999999999999986,0.0039159795942832025
1,2022,ND,2660,69,64.8,0.29999999999999716,0.02593984962406015
0,2021,NE,54213,717,17.7,17.7,0.013225610093520005
1,2021,NE,22066,167,50.7,33,0.007568204477476661
2,2021,NE,21544,73,58.7,8,0.0033884144077237282
3,2021,NE,66147,441,65.4,6.700000000000003,0.006666969023538483
0,2022,NE,142626,828,69.7,4.299999999999997,0.005805393126077994
1,2022,NE,3491,211,70.2,0.5,0.06044113434545975
0,2021,NH,45180,570,17.8,17.8,0.012616201859229747
1,2021,NH,23322,183,63.6,45.8,0.00784666838178544
2,2021,NH,8943,64,69,5.399999999999999,0.007156435200715644
3,2021,NH,53555,299,78.3,9.299999999999997,0.0055830454672766315
0,2022,NH,137118,661,86.8,8.5,0.004820665412272641
1,2022,NH,9166,98,87.8,1,0.010691686668121318
0,2021,NJ,353980,5520,17.3,17.3,0.015594101361658851
1,2021,NJ,235981,2960,60.2,42.900000000000006,0.012543382729965549
2,2021,NJ,75634,670,71,10.799999999999997,0.00885844990348256
3,2021,NJ,160739,1508,80.3,9.299999999999997,0.00938166841898979
0,2022,NJ,914810,4525,89.3,9,0.004946382308894743
1,2022,NJ,73186,456,90.2,0.9000000000000057,0.006230699860629082
0,2021,NM,66774,1769,24.1,24.1,0.02649234732081349
1,2021,NM,18016,441,58.9,34.8,0.024478241563055062
2,2021,NM,29466,258,69.1,10.199999999999996,0.008755854204846264
3,2021,NM,81650,850,78.4,9.300000000000011,0.010410287813839559
0,2022,NM,197170,1552,86.3,7.8999999999999915,0.007871380027387534
1,2022,NM,9584,523,87.5,1.2000000000000028,0.05457011686143572
0,2021,NV,109803,2437,15.9,15.9,0.022194293416391172
1,2021,NV,30378,629,47.6,31.700000000000003,0.020705773915333466
2,2021,NV,66468,924,59.1,11.5,0.013901426250225673
3,2021,NV,70351,1507,67.5,8.399999999999999,0.021421159613935835
0,2022,NV,213125,1687,74.2,6.700000000000003,0.007915542521994135
1,2022,NV,10947,411,75.1,0.8999999999999915,0.037544532748698276
0,2021,NY,505654,7260,16.9,16.9,0.014357643764313147
1,2021,NY,232274,1777,57.9,41,0.007650447316531338
2,2021,NY,92016,510,68.9,11.000000000000007,0.005542514345331246
3,2021,NY,326270,2253,80,11.099999999999994,0.006905323811567107
0,2022,NY,1061079,4736,89.2,9.200000000000003,0.0044633811431571075
1,2022,NY,111654,433,90.1,0.8999999999999915,0.0038780518387160337
0,2021,OH,413961,6057,16.1,16.1,0.014631813141817707
1,2021,OH,134822,2564,47.1,31,0.0190176677396864
2,2021,OH,118414,1005,53.3,6.199999999999996,0.008487172124917662
3,2021,OH,469317,5721,59.3,6,0.01219005490958137
0,2022,OH,959811,9993,63,3.700000000000003,0.010411424749247509
1,2022,OH,34387,1780,63.5,0.5,0.05176374792799605
0,2021,OK,173236,3307,19.7,19.7,0.019089565679189083
1,2021,OK,20074,403,44.2,24.500000000000004,0.020075719836604562
2,2021,OK,101254,740,55.1,10.899999999999999,0.007308353250241966
3,2021,OK,113016,2215,64.1,8.999999999999993,0.019598994832590075
0,2022,OK,354337,2009,70.2,6.1000000000000085,0.005669743774993862
1,2022,OK,17566,895,71,0.7999999999999972,0.05095070021632699
0,2021,OR,62758,1058,16.7,16.7,0.016858408489754294
1,2021,OR,45878,463,57.3,40.599999999999994,0.010091983085574786
2,2021,OR,74812,527,65.5,8.200000000000003,0.007044324439929423
3,2021,OR,114812,1963,72.7,7.200000000000003,0.017097515939100444
0,2022,OR,302830,1461,77.2,4.5,0.004824488987220553
1,2022,OR,20417,855,77.8,0.5999999999999943,0.041876867316451974
0,2021,PA,447672,11585,17.3,17.3,0.025878321628335033
1,2021,PA,270301,3193,57.2,39.900000000000006,0.01181275688954166
2,2021,PA,92254,1021,65.1,7.8999999999999915,0.01106727079584625
3,2021,PA,419597,5186,75,9.900000000000006,0.012359478261284041
0,2022,PA,1020116,9795,83.8,8.799999999999997,0.009601849201463362
1,2022,PA,47825,1376,84.7,0.9000000000000057,0.028771562990067955
0,2021,PR,36697,763,17.5,17.5,0.02079189034525983
1,2021,PR,37977,471,64.3,46.8,0.012402243463148747
2,2021,PR,31169,371,78.5,14.200000000000003,0.011902852192883956
3,2021,PR,16507,393,86.2,7.700000000000003,0.023808081420003634
0,2022,PR,285509,844,94.3,8.099999999999994,0.002956123975076092
1,2022,PR,34568,76,94.8,0.5,0.002198565146956723
1,2021,PW,1,0,64.6,40.49999999999999,0
2,2021,PW,3,0,79.2,14.600000000000009,0
3,2021,PW,6,0,85.6,6.3999999999999915,0
0,2022,PW,3771,6,94.2,8.600000000000009,0.0015910898965791568
1,2022,PW,615,0,94.7,0.5,0
0,2021,RI,50671,987,20.5,20.5,0.019478597225237315
1,2021,RI,24048,204,64.5,44,0.008483033932135729
2,2021,RI,10202,59,74.4,9.900000000000006,0.005783179768672809
3,2021,RI,28494,163,85.2,10.799999999999997,0.005720502561942865
0,2022,RI,155162,508,95,9.799999999999997,0.0032739974993877367
0,2021,SC,271191,3845,15.7,15.7,0.014178199129027144
1,2021,SC,69110,1186,43.1,27.400000000000002,0.017161047605266967
2,2021,SC,145180,918,53.3,10.199999999999996,0.006323185011709602
3,2021,SC,181066,3608,61.7,8.400000000000006,0.01992643566434339
0,2022,SC,543179,2638,66.8,5.099999999999994,0.004856594235049588
1,2022,SC,9499,851,67.3,0.5,0.08958837772397095
0,2021,SD,22020,645,21.8,21.8,0.029291553133514985
1,2021,SD,11764,126,49.8,27.999999999999996,0.010710642638558313
2,2021,SD,8068,55,57.8,8,0.006817055032226078
3,2021,SD,33949,265,68.5,10.700000000000003,0.007805826386638782
0,2022,SD,68998,471,75.2,6.700000000000003,0.0068262848198498505
1,2022,SD,1653,96,76.3,1.0999999999999943,0.05807622504537205
0,2021,TN,334793,6066,14.8,14.8,0.01811865839488878
1,2021,TN,91067,1053,41.6,26.8,0.011562915216269341
2,2021,TN,191609,1040,51.2,9.600000000000001,0.005427719992275937
3,2021,TN,264643,3558,58.1,6.899999999999999,0.013444527155450928
0,2022,TN,675950,4926,61.6,3.5,0.0072875212663658555
1,2022,TN,21672,1646,62.1,0.5,0.07595053525286083
0,2021,TX,1179650,19635,14.3,14.3,0.01664476751578858
1,2021,TX,299820,4526,46.5,32.2,0.015095724101127342
2,2021,TX,627873,4707,58.6,12.100000000000001,0.007496738990209803
3,2021,TX,694891,16972,65.8,7.199999999999996,0.024423974407497002
0,2022,TX,2186473,10942,71.8,6,0.005004406640283232
1,2022,TX,143640,2919,72.9,1.1000000000000085,0.020321637426900584
0,2021,UT,139414,897,15.7,15.7,0.006434074052821094
1,2021,UT,34935,367,48.3,32.599999999999994,0.010505223987405181
2,2021,UT,58252,322,58.4,10.100000000000001,0.005527707203186157
3,2021,UT,131379,894,66.7,8.300000000000004,0.006804740483638938
0,2022,UT,327051,883,71.5,4.799999999999997,0.0026998847274584087
1,2022,UT,7706,329,72,0.5,0.0426940046716844
0,2021,VA,295265,4372,17.8,17.8,0.014807037745753815
1,2021,VA,98423,2411,58.6,40.8,0.024496306757566828
2,2021,VA,94245,667,68.2,9.600000000000001,0.0070772985304260174
3,2021,VA,201687,2869,78.1,9.899999999999991,0.014225012023581094
0,2022,VA,669924,3917,84.7,6.6000000000000085,0.005846931890781641
1,2022,VA,49826,1337,85.5,0.7999999999999972,0.026833380162967126
0,2021,VI,839,2,15.9,15.9,0.0023837902264600714
1,2021,VI,812,2,38,22.1,0.0024630541871921183
2,2021,VI,2466,28,51,13,0.0113544201135442
