M,Y,State,Administered_Dose1_Pop_Pct,Administered_Cumulative,new_case,new_death,tot_cases
01,2021,AK,3.2,23767,470,4,46241
01,2021,AL,1.1,51823,3621,82,365827
01,2021,AR,1.9,58840,4304,35,229442
01,2021,AS,2.4,1082,0,0,3
01,2021,AZ,1.5,114621,10063,151,530622
01,2021,CA,1.5,588210,61016,428,2292568
01,2021,CO,2.2,133110,2824,59,350088
01,2021,CT,2.3,83576,0,0,185708
01,2021,DC,1.3,20471,269,2,29252
01,2021,DE,1.6,17006,622,0,58490
01,2021,FL,1.4,317893,9645,154,1323639
01,2021,GA,1.1,119087,11137,24,677589
01,2021,GU,3.2,5514,0,0,7308
01,2021,HI,2.5,36543,232,1,21258
01,2021,IA,1.9,61187,1995,7,282664
01,2021,ID,1.5,28863,0,0,141077
01,2021,IL,1.7,214683,0,195,963389
01,2021,IN,1.8,121730,6300,110,517998
01,2021,KS,2,57796,5312,138,227745
01,2021,KY,2,79011,3153,53,278190
01,2021,LA,1.3,62714,0,0,315275
01,2021,MA,1.9,130575,0,64,375178
01,2021,MD,1.5,82437,3557,43,280219
01,2021,ME,2.6,35488,356,11,26280
01,2021,MI,1.6,163312,2011,100,591739
01,2021,MN,1.9,106847,0,0,415302
01,2021,MO,1.8,115947,1232,43,450801
01,2021,MP,5.9,3053,0,0,122
01,2021,MS,1,30766,1825,28,223753
01,2021,MT,2.8,30970,0,0,81555
01,2021,NC,1.4,141937,11037,81,559142
01,2021,ND,3.2,25531,121,1,92891
01,2021,NE,2.6,51290,778,17,168011
01,2021,NH,2.2,28483,0,0,44028
01,2021,NJ,1.4,117137,5803,118,533587
01,2021,NM,3,63126,1278,24,144142
01,2021,NV,1.4,42604,2315,21,227046
01,2021,NY,1.6,352647,11204,135,559358
01,2021,OH,1.6,194463,0,0,700380
01,2021,OK,2.2,89963,3502,55,329026
01,2021,OR,1.6,71350,0,0,113909
01,2021,PA,1.7,214805,8491,236,657060
01,2021,PR,2.3,73831,253,0,80111
01,2021,PW,0,0,0,0,0
01,2021,RI,2.4,25645,942,14,86248
01,2021,SC,1.1,61185,5815,88,323250
01,2021,SD,3.5,31303,0,0,99164
01,2021,TN,2.3,172450,9170,97,585526
01,2021,TX,1.8,554887,16311,276,1772483
01,2021,UT,1.9,61947,3110,9,279722
01,2021,VA,1.7,152027,3988,36,358755
01,2021,VI,1.4,1521,0,0,2036
01,2021,VT,2.9,18989,163,2,7133
01,2021,WA,1.6,129193,2756,0,247578
01,2021,WI,1.6,91684,2085,12,522523
01,2021,WV,3.2,66833,2486,23,87820
01,2021,WY,1.8,10612,0,0,44409
01,2022,AK,67.3,1051851,0,0,151583
01,2022,AL,60.2,5797894,4987,10,909997
01,2022,AR,63.8,3884789,4155,32,570641
01,2022,AS,87.6,79940,0,0,11
01,2022,AZ,68.6,10819388,8220,125,1389708
01,2022,CA,78.7,65934278,0,0,5477529
01,2022,CO,76.1,9749755,12088,0,956354
01,2022,CT,90,6787979,0,0,510188
01,2022,DC,91.7,1351554,0,0,94286
01,2022,DE,78.2,1619560,3563,0,183935
01,2022,FL,75.8,34361056,45430,62,4294461
01,2022,GA,62.6,13629882,0,0,1839879
01,2022,GU,86.7,312584,0,0,19618
01,2022,HI,83.7,2604890,2707,4,112283
01,2022,IA,65.6,4684737,0,0,582348
01,2022,ID,58.6,2246143,0,0,319382
01,2022,IL,72.2,20111637,0,0,2181009
01,2022,IN,58.4,8632508,0,0,1246854
01,2022,KS,71.1,4201679,0,0,519544
01,2022,KY,63.5,5996684,5274,24,882951
01,2022,LA,58.5,5744960,0,0,828695
01,2022,MA,91.6,13186736,0,0,1140614
01,2022,MD,82.1,10747164,14916,36,735804
01,2022,ME,86.7,2554237,934,0,155107
01,2022,MI,64.4,14439550,0,0,1710271
01,2022,MN,72.1,9290515,0,0,1022212
01,2022,MO,63.2,8175625,0,0,1006913
01,2022,MP,84.2,97141,32,1,3287
01,2022,MS,57,3563259,0,0,543737
01,2022,MT,63,1472886,0,0,197724
01,2022,NC,78.3,15232412,21352,19,1719003
01,2022,ND,62.9,1024534,0,0,174626
01,2022,NE,67.7,2937474,0,0,342939
01,2022,NH,82.9,2260015,0,0,198667
01,2022,NJ,85,15326917,32391,16,1596644
01,2022,NM,82.2,3507230,0,0,350043
01,2022,NV,70.7,4401417,0,0,501181
01,2022,NY,85.1,34931353,35752,59,1960358
01,2022,OH,61.2,16266238,0,0,2016095
01,2022,OK,67.2,5403483,0,0,708938
01,2022,OR,74.8,6954623,0,0,421263
01,2022,PA,79.8,20775450,23189,9,2059613
01,2022,PR,89.9,6225605,0,3,272290
01,2022,PW,88.2,37413,0,0,12
01,2022,RI,91.1,1996449,2379,9,224971
01,2022,SC,64.4,6881241,11262,5,988830
01,2022,SD,72.2,1282194,0,0,179204
01,2022,TN,59.9,9195824,11280,1,1437173
